Internals 	 minnodeR: 3 	 TSnode: 14 	 minnodeP: 27
Dihedral 6-1-3-2	1.749215415655542	2.0233741298407018	2.5397006396871995
Dihedral 6-1-3-27	-1.2048280550021144	-1.0390632667374289	-0.4645764407230006
Dihedral 8-1-3-2	-0.16750660534605258	-0.19208446540470048	-0.050706771545812865
Dihedral 8-1-3-27	-3.121550076003709	3.028663445196756	-3.054983851956013
Dihedral 11-1-3-2	-0.7397240426913414	-0.7835797887062133	-0.6201379902528334
Dihedral 11-1-3-27	2.589417793830589	2.437168121895243	2.658770236516553
Dihedral 12-1-3-2	0.273966305807273	0.26195528202781254	0.454304382727123
Dihedral 12-1-3-27	-2.6800771648503834	-2.800482114550318	-2.549972697683077
Dihedral 13-1-3-2	0.006274930342981774	-0.015490890081660904	0.2639792542932438
Dihedral 13-1-3-27	-2.9477685403146747	-3.077928286659791	-2.740297826116956
Dihedral 15-1-3-2	-0.652906397327462	-0.7352032265242318	-0.5055590411988677
